x1	y1	x2	y2
224.5898	207.5386	133.5641	164.3475
992.1852	402.4692	782.0917	205.1103
474.6934	715.2142	496.6900	390.8831
645.6855	321.7152	489.6386	191.5064
887.4290	440.3127	703.2274	254.0007
646.0622	110.4218	608.2739	247.3171
719.9072	785.0250	608.2739	247.3171
748.9150	786.2877	608.2739	247.3171
390.0170	545.0847	317.8733	411.7916
98.5844	450.8229	69.2232	380.0551
462.3145	218.7026	328.6382	135.9904
68.2926	657.2128	608.2739	247.3171
1031.2028	176.8138	608.2739	247.3171
882.4468	810.8011	608.2739	247.3171
412.0991	537.1260	334.4149	400.6760
1021.2676	185.2220	608.2739	247.3171
635.9013	692.9539	539.0121	492.9367
299.1247	91.0432	175.8741	58.6219
450.8278	732.1479	608.2739	247.3171
53.9876	398.9963	432.3768	171.0461
538.9410	438.2801	421.0837	303.0477
983.3457	817.8020	608.2739	247.3171
636.2063	693.2880	539.0121	492.9367
1043.0448	509.6433	608.2739	247.3171
807.8958	135.0001	608.2739	247.3171
25.8680	547.7913	608.2739	247.3171
810.2891	133.0701	608.2739	247.3171
929.9261	172.7758	608.2739	247.3171
986.9592	796.9717	608.2739	247.3171
911.4551	823.0596	608.2739	247.3171
1037.2582	543.4112	624.3992	98.5526
374.9091	63.1300	608.2739	247.3171
726.5855	449.2068	575.1049	280.6742
519.3147	417.4661	411.3326	535.2502
103.0278	573.8647	91.1204	478.6833
800.7180	140.8910	608.2739	247.3171
334.0739	709.1560	608.2739	247.3171
485.4037	306.5562	354.0045	201.1397
91.3865	227.5214	608.2739	247.3171
85.1025	249.1279	608.2739	247.3171
117.4733	116.4887	608.2739	247.3171
56.1222	388.5103	608.2739	247.3171
85.1391	657.2111	608.2739	247.3171
1004.1668	693.4381	608.2739	247.3171
832.7866	321.2254	641.0023	163.8693
880.5740	459.4631	832.9955	183.2057
1027.4929	299.0687	794.7764	116.2537
389.1986	43.0426	473.3666	302.4945
100.0815	565.7739	539.0121	492.9367
89.2219	226.5386	608.2739	247.3171
611.7123	383.2989	474.1098	246.6030
376.1598	700.3487	608.2739	247.3171
469.3354	703.8410	406.3492	528.2932
661.6725	551.5396	812.2234	243.2353
1005.0515	306.4901	777.2358	124.8682
86.9196	248.4570	608.2739	247.3171
288.5756	30.3799	608.2739	247.3171
547.7984	81.4249	608.2739	247.3171
1026.1041	597.1641	608.2739	247.3171
368.4257	699.1597	608.2739	247.3171
810.9343	325.8257	624.1534	170.4460
448.9629	335.9463	330.3418	232.0426
735.2731	498.2838	589.5227	321.0116
842.9132	317.3543	648.0397	157.9637
473.9277	324.1893	352.4053	220.5917
947.6782	328.0946	735.4494	151.5823
543.5978	83.0534	608.2739	247.3171
263.0972	694.7280	608.2739	247.3171
878.8639	604.9667	720.8049	385.4518
836.1025	331.5549	643.7961	170.4486
509.9138	90.9597	608.2739	247.3171
527.6372	630.3531	441.7290	458.6530
768.5316	127.0092	608.2739	247.3171
783.8615	786.6319	608.2739	247.3171
265.7510	693.0058	608.2739	247.3171
368.8609	709.3976	608.2739	247.3171
880.4435	147.0284	608.2739	247.3171
614.1489	378.1082	474.1098	246.6030
417.3490	55.7383	608.2739	247.3171
