x1	y1	x2	y2

% SURF_points_20241208_1
299.1247	91.0432	175.8741	58.6219
212.1750	190.0875	118.9733	153.0870

% Harris_points_20241208_1
96.9283	444.8559	66.7773	374.4253

% Shi_Tomasi_points_20241208_1
462.6438	223.4571	327.1204	140.3282
480.4567	324.4891	357.6263	219.3761
661.7071	285.0438	498.5011	160.1650
857.4968	383.3388	670.3986	209.3262

% SIFT_points_20241208_1
881.6406	458.7700	701.6615	265.8428
892.0728	463.2957	710.6780	268.7957
909.4717	480.4437	726.7891	280.4567
1007.4458	342.1643	784.9883	152.9594
1078.9139	232.8691	826.4583	55.4721
1078.9139	232.8691	826.4583	55.4721

% ORB_points_20241208_1
207.4000	153.4000	112.0000	123.0000
71.5600	516.5200	56.2000	436.6000
867.4000	603.4000	712.0000	385.0000
569.5120	657.6401	480.5200	474.7600
