x1	y1	x2	y2
207.4000	153.4000	112.0000	123.0000
205.0000	181.0000	113.0000	145.0000
662.2000	248.2000	493.0000	130.0000
641.8000	311.8000	485.0000	184.0000
638.2000	313.0000	483.0000	186.0000
537.4000	320.2000	402.0000	207.0000
946.6000	349.0000	738.0000	169.0000
856.6000	374.2000	669.0000	202.0000
859.0001	399.4000	674.0000	223.0000
875.8000	422.2000	691.0000	239.0000
107.8000	443.8000	75.0000	373.0000
740.2000	479.8000	591.0000	305.0000
611.8000	537.4000	496.0000	371.0000
871.0001	590.2000	713.0000	375.0000
867.4000	603.4000	712.0000	385.0000
559.0000	649.0000	470.0000	469.0000
193.9600	175.2400	104.2000	142.6000
641.8000	312.0400	485.8000	184.6000
787.2401	335.0800	607.0000	181.0000
791.5601	335.0800	609.4000	181.0000
793.0001	349.4800	613.0000	193.0000
833.3200	366.7600	649.0000	199.0000
723.8800	499.2400	580.6000	322.6000
71.5600	516.5200	56.2000	436.6000
395.5600	538.1200	321.4000	404.2000
772.8400	549.6400	627.4000	357.4000
206.6320	170.3440	113.3200	137.8000
218.7280	201.4480	129.1600	159.4000
662.8240	248.1040	493.4800	130.6000
998.0561	367.3360	781.4800	175.2400
635.1761	547.0480	516.5200	375.4000
569.5120	657.6401	480.5200	474.7600
1033.6530	295.4512	799.3361	111.5920
817.9985	338.9969	631.7200	178.9840
795.1889	345.2177	614.4401	187.6240
546.3569	467.5601	433.0000	324.1360
722.6129	498.6641	579.8801	322.4080
214.9956	182.6474	121.2688	144.0784
831.1038	320.5004	640.4984	162.7408
